name,facility_a,product,Latitude,longitude
"PLASTICARDS, INC., RAINBOW PRINTING DIV.","3711 BOETTLER OAKS DRIVE, UNIONTOWN, OH, 44685","PLASTIC CARDS, PROMOTIONAL MAGNETS, POSTCARDS, COUPONS & SPECIALTY PRINTED PLASTIC PRODUCTS",1.786,-81.219
GEORATOR CORP.,"9617 CENTER STREET, MANASSAS, VA, 20110","AC FREQUENCY CONVERTERS, MOTOR GENERATOR SETS, PERMANENT MAGNET ALTERNATORS & POWER SOURCES",0.135,-78.019
DOUGLAS MFG. CORP.,"1530 PINE AVENUE, CRETE, NE, 68333","CARTRIDGE, MAGNETIC TAPE, FILM, COMPUTER DISK & PAPER CONTAINERS & ELECTION EQUIPMENT",0.632,-92.176
"HOLM INDUSTRIES, INC.","745 SOUTH GARDNER STREET, SCOTTSBURG, IN, 47170","CORPORATE HEADQUARTERS & VINYL, MAGNETIC, RIGID & DUAL DUROMETER EXTRUDED PARTS",-0.902,-83.988
"TAYLOR CABLE PRODUCTS, INC.","301 HIGH GROVE ROAD, GRANDVIEW, MO, 64030","AUTOMOTIVE WIRE & CABLE HARNESSES, PERFORMANCE BATTERY CABLE, IGNITION WIRES, HEAT PROTECTON & VERTEX MAGNETOS",-1.107,-90.422
IWG HIGH PERFORMANCE CONDUCTORS,"13230 NORTH MAIN STREET, TRENTON, GA, 30752",MAGNET WIRE & TUBING,-4.655,-83.341
"ESSEX GROUP, INC.","1299 EAST ESSEX ROAD, VINCENNES, IN, 47591",MAGNET WIRE,-1.1,-85.252
"REA MAGNET WIRE CO., INC.","2800 CONCORD ROAD, LAFAYETTE, IN, 47909",MAGNET WIRE,0.719,-84.949
"REA MAGNET WIRE CO., INC.","2131 SOUTH COLISEUM BOULEVARD, FORT WAYNE, IN, 46803",MAGNET WIRE,1.537,-83.769
"SUMITOMO ELECTRIC WINTEC AMERICA, INC.","909 INDUSTRIAL DRIVE, EDMONTON, KY, 42129",COPPER-BASED MAGNET WIRE,-2.56,-83.672
FEMCO MAGNET WIRE CORP.,"1900 EARLYWOOD DRIVE, FRANKLIN, IN, 46131",MAGNET WIRE,-0.085,-84.291
"EDGE TECHNOLOGIES, INC.","2500 NORTH LOOP DRIVE, AMES, IA, 50010","MAGNETOSTRICTIVE ALLOYS, ACTUATORS & ULTRASONIC & ACOUSTIC DEVICES",2.028,-89.841
ALCONEX SPECIALTY PRODUCTS,"4204 WEST FERGUSON ROAD, FORT WAYNE, IN, 46809",COPPER & ALUMINUM CONFORM EXTRUSIONS & MAGNET WIRE,1.451,-83.832
BERGQUIST IMPORTS,"1412 MN 33 SOUTH, CLOQUET, MN, 55720","CHINA DECORATING, ADVERTISING SPECIALTIES, MUGS, TILES, PLATES,DINNERWARE, MAGNETS & GLASSWARE DECORATING",6.776,-89.213
IT TAKES TWO,"100 MINNESOTA AVENUE, LE SUEUR, MN, 56058","GREETING & NOTE CARDS, BOOKS, JOURNALS, PLANNERS, CALENDARS, MAGNETIC LIST PADS, STATIONERY, SCRAPBOOK PAPERS & STICKERS",4.472,-90.095
"MAGNA-TEL, INC.","775 SOUTH KINGSHIGHWAY, CAPE GIRARDEAU, MO, 63703",MAGNETIC ADVERTISING SPECIALTIES,-2.551,-86.657
"GEMINI INDUSTRIES, INC.","1 GEMINI INDUSTRIAL DRIVE, ROXANA, IL, 62084","SPORTS BOTTLE SLEEVES, MAGNETS & KEYTAGS",-1.032,-87.128
"MONARCH PRESS, THE","9353 LEE ROAD, JACKSON, MI, 49201","PRINTING, INCLUDING LASER-CUT SHEETS, CONTINUOUS-FORMS, OFFSET, INTEGRATED & AFFIXED LABELS, CARDS, ENVELOPES, MAGNETS",2.755,-83.32
"WEST BANK CREATIVE, INC.","20 POPLAR AVENUE, LITTLE FERRY, NJ, 07643","COMMERCIAL, OFFSET & COLOR PRINTING & GRAPHIC DESIGN FOR ADVERTISING NOVELTIES, INCLUDING MAGNETS, COFFEE MUGS",2.698,-76.061
"POTTER MFG. CO., INC.","1010 ARROWSMITH STREET, EUGENE, OR, 97402","LITHOGRAPHED DECALS, SPECIALTY LABELS, MAGNETS & VINYL TRANSFERS",6.315,-109.193
COLORTONE DECAL CO.,"3750 NOAKES STREET, LOS ANGELES, CA, 90023","SCREEN PRINTING, DECALS, BANNERS, TATTOOS, MAGNETS, BUTTONS & DISPLAYS",-3.609,-108.321
DIMENSIONAL GRAPHICS CORP.,"325 NORTH JACKSON AVENUE, MASON CITY, IA, 50401","SCREEN PRINTING, DIE CUTTING, LAMINATING, PACKAGING, DECALS, TAGS, MAGNETS, SIGNS, PLACARDS, RULERS, BINDERS, LABELS",3.197,-89.582
HANS MFG. CORP.,"5 TERRITORIAL COURT, BOLINGBROOK, IL, 60440","CLIPBOARDS, MAGNETIC CLIPS & PORTFOLIOS SCREEN PRINTING",1.926,-85.946
ADVANCE DIGITAL & SCREEN PRINTING,"850 SCIENCE BOULEVARD, COLUMBUS, OH, 43230","POSTER SCREEN PRINTING, TRUCK LETTERING MAGNETS, DECALS, SIGNS & BANNERS",0.682,-82.042
KRAFTWORK CUSTOM DESIGN,"182 HOMECREST AVENUE, TRENTON, NJ, 08638","DIMENSIONAL, NEON, MAGNETIC & CHANNEL LETTER INTERIOR & EXTERIOR SIGNS, VINYL GRAPHICS, TRUCK LETTERING",1.993,-76.43
FED-CAL,"1570 NW 165TH STREET, MIAMI, FL, 33169","DECALS, BUMPER STICKERS, POSTERS, MAGNETIC SIGNS, TEXTILE SCREEN PRINTING & TRUCK & VINYL LETTERING",-12.748,-77.558
"H T H, INC.","711 JACKSON AVENUE, WINTER PARK, FL, 32789","APPAREL, CAR-TOP & MAGNETIC SIGNS, ADVERTISING SPECIALTIES & GLASS ETCHING SCREEN PRINTED",-10.349,-79.06
"VILLAGE LIGHTHOUSE, INC.","6165 SANTA MONICA BOULEVARD, LOS ANGELES, CA, 90038","GREETING CARDS, CALENDARS, MAGNETS, COLOGNE, LOTIONS, PAPER PRODUCTS & MOVIES",-3.514,-108.393
"STOUSE, INC.","300 NEW CENTURY PARKWAY, NEW CENTURY, KS, 66031","DECALS, CORRUGATED SIGNS, LABELS, BUMPER STICKERS, PARKING PERMITS & MAGNETS",-1.17,-90.683
COLOR VISION PRINTING,"WEST 501 WI 29, EDGAR, WI, 54426","COMMERCIAL PRINTING, LAMINATING & PROMOTIONAL PRODUCTS, INCLUDING MAGNETIC MEMO BOARDS, PROMOTIONAL MAGNETS & PAPER NOTES",5.101,-87.499
"PHOTO CARD SPECIALISTS, INC.","2425 SEYMOUR ROAD, EAU CLAIRE, WI, 54703","FULL-COLOR SHORT-RUN BUSINESS CARD, POSTCARD, BROCHURE, WALL CALENDER, CHRISTMAS CARD, MAGNET & PHONE CADDY CARD",4.924,-88.476
"INERTIA DYNAMICS, INC.","31 INDUSTRIAL PARK ROAD, NEW HARTFORD, CT, 06057","ELECTROMAGNETIC BRAKES, CLUTCHES & WRAP SPRINGS",3.86,-75.579
CUSTOM PRODUCTS CORP.,"457 STATE STREET, NORTH HAVEN, CT, 06473","MINIATURE PRECISION MECHANICAL, PNEUMATIC & ELECTROMAGNETIC CLUTCHES & BRAKES",3.376,-75.403
"KEB AMERICA, INC.","5100 VALLEY INDUSTRIAL BOULEVARD SOUTH, SHAKOPEE, MN, 55379","FREQUENCY INVERTERS, SERVO SYSTEMS, GEAR MOTORS, CLUTCH-BRAKE-MODULES, SPRING SET BRAKES & ELECTROMAGNETIC CLUTCHES",4.834,-89.802
"THREE BY THREE, SEATTLE","1518 NW 52ND STREET, SEATTLE, WA, 98107",MAGNETS & MAGNETIC PRODUCTS,9.483,-107.899
"MASTER WOODCRAFT, INC.","1312 COLLEGE STREET, OXFORD, NC, 27565","CORK BULLETIN & DRY-ERASE MARKER BOARDS, CHALKBOARDS, ERASERS, SCHOOL FURNITURE & EASELS & MAGNETIC PRODUCTS",-2.383,-78.343
